code,title,dekanat_id,is_published,description,training_center_number
NGF-001,Основы безопасной эксплуатации нефтегазового оборудования,DEK-DS-001,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-002,Эксплуатация насосных и компрессорных станций,DEK-DS-002,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-003,Диагностика объектов систем газораспределения и газопотребления,DEK-DS-003,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-004,Физические основы неразрушающего контроля материалов,DEK-DS-004,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-005,Диагностика объектов транспорта и хранения нефти и газа,DEK-DS-005,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-006,Защита газопроводов от коррозии,DEK-DS-006,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-007,Техническая диагностика газонефтепроводов,DEK-DS-007,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-008,Монтаж и ремонт газового оборудования,DEK-DS-008,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-009,Эксплуатация сетей газораспределения и газопотребления,DEK-DS-009,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-010,Ремонт и обслуживание газонефтепроводов,DEK-DS-010,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-011,Обслуживание и ремонт линейной части газонефтепроводов,DEK-DS-011,1,Кафедра транспорта и хранения нефти и газа.,1
NGF-012,Техника и технология бурения нефтяных и газовых скважин,DEK-DS-012,1,Кафедра бурения скважин.,1
NGF-013,Буровые и тампонажные растворы,DEK-DS-013,1,Кафедра бурения скважин.,1
NGF-014,Осложнения и аварии в бурении,DEK-DS-014,1,Кафедра бурения скважин.,1
NGF-015,Осложнения и аварии при бурении на шельфе,DEK-DS-015,1,Кафедра бурения скважин.,1
NGF-016,Предупреждение и ликвидация аварий в скважинах,DEK-DS-016,1,Кафедра бурения скважин.,1
NGF-017,Разобщение пластов и освоение скважин,DEK-DS-017,1,Кафедра бурения скважин.,1
NGF-018,Реконструкция и восстановление скважин,DEK-DS-018,1,Кафедра бурения скважин.,1
NGF-019,Заканчивание скважин,DEK-DS-019,1,Кафедра бурения скважин.,1
NGF-020,Подводное оборудование и управление скважиной,DEK-DS-020,1,Кафедра бурения скважин.,1
NGF-021,Буровые промывочные и тампонажные растворы,DEK-DS-021,1,Кафедра бурения скважин.,1
NGF-022,Бурение скважин на шельфе,DEK-DS-022,1,Кафедра бурения скважин.,1
NGF-023,Физико-химия буровых технологических жидкостей,DEK-DS-023,1,Кафедра бурения скважин.,1
NGF-024,Проектирование и эксплуатация геологоразведочного оборудования,DEK-DS-024,1,Кафедра бурения скважин.,1
NGF-025,Разработка нефтяных и газовых месторождений,DEK-DS-025,1,Кафедра разработки и эксплуатации нефтяных и газовых месторождений.,1
NGF-026,Текущий и капитальный ремонт скважин,DEK-DS-026,1,Кафедра разработки и эксплуатации нефтяных и газовых месторождений.,1
NGF-027,Гидродинамические методы исследования скважин и пластов,DEK-DS-027,1,Кафедра разработки и эксплуатации нефтяных и газовых месторождений.,1
NGF-028,Сбор и подготовка скважинной продукции,DEK-DS-028,1,Кафедра разработки и эксплуатации нефтяных и газовых месторождений.,1
NGF-029,Внутрипромысловый сбор и подготовка скважинной продукции на шельфе,DEK-DS-029,1,Кафедра разработки и эксплуатации нефтяных и газовых месторождений.,1
NGF-030,Основы разработки нефтяных и газовых месторождений,DEK-DS-030,1,Кафедра разработки и эксплуатации нефтяных и газовых месторождений.,1
NGF-031,Основы реологии нефти,DEK-DS-031,1,Кафедра разработки и эксплуатации нефтяных и газовых месторождений.,1
