number,name,faculty_code,faculty_title,source
1,Учебный центр №1,ГФ,Горный факультет,studlab.spmi.ru
2,Учебный центр №2,ГФ,Горный факультет,studlab.spmi.ru
1,Учебный центр №1,НГФ,Нефтегазовый факультет,studlab.spmi.ru
2,Учебный центр №2,ММФ,Механико-машиностроительный факультет,studlab.spmi.ru
1,Учебный центр №1,ММФ,Механико-машиностроительный факультет,studlab.spmi.ru
2,Учебный центр №2,ЭФ,Энергетический факультет,studlab.spmi.ru
3,Учебный центр №3,ЭФ,Энергетический факультет,studlab.spmi.ru
3,Учебный центр №3,ГРФ,Геологоразведочный факультет,studlab.spmi.ru
1,Учебный центр №1,ГРФ,Геологоразведочный факультет,studlab.spmi.ru
1,Учебный центр №1,СФ,Строительный факультет,studlab.spmi.ru
2,Учебный центр №2,СФ,Строительный факультет,studlab.spmi.ru
3,Учебный центр №3,ФПМС,Факультет переработки минерального сырья,studlab.spmi.ru
1,Учебный центр №1,ФПМС,Факультет переработки минерального сырья,studlab.spmi.ru
3,Учебный центр №3,ИБИО,Институт базового инженерного образования,studlab.spmi.ru
